r_gps_x	r_gps_y	r_gps_z	r_mgn_a	r_bar_z	r_snr_z
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
25	25	25	0.550523	0.386162	0.342307
